name,rating,genre,year,released,score,votes,director,writer,star,country,budget,gross,company,runtime
One for the Money,PG-13,Action,2012,"January 27, 2012 (United States)",5.3,41000.0,Julie Anne Robinson,Stacy Sherman,Katherine Heigl,United States,40000000.0,38084162.0,Lakeshore Entertainment,95.0
Bachelorette,R,Comedy,2012,"September 6, 2012 (Russia)",5.3,46000.0,Leslye Headland,Leslye Headland,Kirsten Dunst,United States,3000000.0,12128575.0,Gary Sanchez Productions,87.0
Lay the Favorite,R,Comedy,2012,"June 22, 2012 (United Kingdom)",4.8,11000.0,Stephen Frears,D.V. DeVincentis,Rebecca Hall,United States,26350000.0,1577272.0,Emmett/Furla/Oasis Films (EFO Films),94.0
Kahaani,Not Rated,Mystery,2012,"March 9, 2012 (India)",8.1,59000.0,Sujoy Ghosh,Sujoy Ghosh,Vidya Balan,India,,459234.0,Boundscript,122.0
Parental Guidance,PG,Comedy,2012,"December 25, 2012 (United States)",6.0,25000.0,Andy Fickman,Lisa Addario,Billy Crystal,United States,25000000.0,119772232.0,Twentieth Century Fox,105.0
The Raven,R,Crime,2012,"April 27, 2012 (United States)",6.4,83000.0,James McTeigue,Hannah Shakespeare,John Cusack,United States,26000000.0,29699345.0,Intrepid Pictures,110.0
Liberal Arts,PG-13,Comedy,2012,"October 5, 2012 (United Kingdom)",6.7,37000.0,Josh Radnor,Josh Radnor,Josh Radnor,United States,2000000.0,1150681.0,BCDF Pictures,97.0
Stolen,R,Action,2012,"September 6, 2012 (United Arab Emirates)",5.5,44000.0,Simon West,David Guggenheim,Nicolas Cage,United States,35000000.0,17415418.0,Millennium Films,96.0
Kon-Tiki,PG-13,Adventure,2012,"April 26, 2013 (United States)",7.2,47000.0,Joachim Rønning,Petter Skavlan,Pål Sverre Hagen,United Kingdom,16600000.0,22842887.0,Recorded Picture Company (RPC),118.0
Paranormal Activity 4,R,Horror,2012,"October 19, 2012 (United States)",4.6,63000.0,Henry Joost,Christopher Landon,Stephen Dunham,United States,5000000.0,142802657.0,Paramount Pictures,88.0
Quartet,PG-13,Comedy,2012,"March 1, 2013 (United States)",6.8,19000.0,Dustin Hoffman,Ronald Harwood,Maggie Smith,United Kingdom,11000000.0,59520298.0,Headline Pictures,98.0
28 Hotel Rooms,Not Rated,Drama,2012,"November 9, 2012 (United States)",5.8,3200.0,Matt Ross,Matt Ross,Marin Ireland,United States,,131208.0,Mott Street Pictures,82.0
Playing for Keeps,PG-13,Comedy,2012,"December 7, 2012 (United States)",5.7,29000.0,Gabriele Muccino,Robbie Fox,Gerard Butler,United States,35000000.0,30962335.0,Eclectic Pictures,105.0
